,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
cream of tartar,15,7,0,0,8,0,2,1,1,1,2,0,16,0,11,2,8,0,0,11,11,0,1,1,26,45,3,0,7,0,23,0,0,0,22,0,1,20,0,0,1,0,0,7,2,0,44,0,8,7,0,0,0,4,4,0,2,0,0,47,0,0,0,3,5,6,0,7,3,2,0,0,0,7,0,0,5,1,5,10,1,0,16,5,0,6,15,16,0,0,0,74,11,0,0,0,0,1,0,13,0,0,0,6,0,1,0,3,0,0,0,0,1,0,1,0,0,1,26,0,0,11,0,0,0,0,0,0,0,2,0,1,0,3,13,2,0,5,0,1,0,4,0,1,0,0,0,0,0,3,0,0,14,2,0,8,0,7,5,1,0,1,3,1,1,0,24,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,7,0,0,1,0,1,0,3,0,8,0,0,5,4,0,10,0,0,3,0,2,1,0,2,3,21,0,0,0,9,0,0,3,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,1,0,17,1,0,12,1,0,1,2,0,0,0,7,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,6,0,2,0,1,2,4,0,0,1,2,0,0,1,0,0,0,0,4,4,0,2,0,7,0,0,1,0,10,0,0,1,0,6,0,1,3,1,0,0,0,2,5,0,1,0,1,8,2,0,0,9,0,0,5,1,1,1,0,2,0,0,0,0,0,0,1,0,8,0,1,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,8,8,3,0,2,0,2,16,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,4,0,7,0,6,0,0,1,0,0,0,3,0,0,0,3,0,0,1
frozen peas,10,0,8,10,8,19,6,26,6,4,11,10,3,27,0,15,10,17,16,7,4,9,12,0,3,5,1,17,7,18,8,20,13,3,0,35,6,5,8,7,9,10,8,0,6,3,0,1,3,3,1,9,6,0,10,3,1,7,2,0,4,6,4,0,0,2,28,0,3,10,4,9,1,1,6,1,5,4,3,0,8,8,0,4,4,4,3,3,0,2,3,2,1,7,0,6,4,1,6,0,7,5,2,1,15,1,9,1,4,8,9,10,10,5,4,5,12,6,3,3,16,0,17,3,5,8,5,4,2,1,10,1,12,1,0,5,0,0,10,19,6,6,8,10,0,0,12,2,5,0,16,6,0,6,14,0,0,4,3,8,12,4,2,1,0,0,0,13,2,1,1,2,0,5,2,8,1,0,9,2,6,2,2,1,1,0,4,1,0,4,0,1,0,16,9,2,0,0,0,10,2,1,2,2,6,13,1,1,0,4,10,4,0,4,3,3,1,7,2,1,4,6,6,0,13,1,3,6,5,4,1,5,4,2,1,5,0,0,5,0,0,0,2,1,0,2,7,0,3,5,8,4,0,3,1,0,12,4,1,2,0,8,3,1,0,0,0,5,3,1,3,9,0,2,0,0,6,1,5,0,0,0,2,1,3,0,9,0,0,2,0,4,5,11,0,0,1,4,1,2,4,4,1,3,3,1,0,4,14,0,5,2,0,0,8,1,1,0,0,2,5,0,0,2,2,4,12,1,2,2,0,4,0,0,2,2,0,5,11,5,2,0,6,0,1,4,8,2,5,3,0,3,4,6,3,0,0,1,2,0,0,2,0,1,0,2,2,7,1,2,2,0,0,0,0,1,9,5,2,4,0,1,0,0,4,0,4,2,2,6,2,4,2,4,1,1,2,1,3,0
cumin seeds,15,5,1,3,14,31,5,5,11,19,17,1,12,41,0,3,1,13,10,8,3,12,7,17,0,1,4,7,0,5,4,10,13,2,0,28,0,3,7,5,8,5,6,0,3,2,0,2,4,4,8,2,1,0,2,7,9,8,2,0,2,5,2,1,0,3,7,0,15,2,3,9,15,4,7,1,7,5,1,4,9,7,1,2,7,6,0,0,0,0,4,2,2,4,3,1,8,32,6,1,2,4,2,7,0,3,3,41,15,8,1,0,47,2,3,26,12,8,1,0,4,0,2,3,6,5,0,7,3,2,4,8,1,0,1,0,2,1,2,3,0,30,4,92,5,1,6,3,3,0,5,3,0,12,2,0,45,1,1,2,1,7,3,1,2,1,0,2,2,3,6,5,2,0,2,7,0,9,0,1,2,0,0,1,5,8,0,0,0,2,1,2,0,7,0,0,0,2,2,0,5,4,3,7,0,19,2,1,0,0,0,0,0,2,0,3,1,4,0,0,2,1,23,0,23,37,7,3,3,0,1,4,1,1,33,9,0,0,4,1,0,14,0,21,1,13,3,0,50,0,0,1,0,7,30,0,2,7,3,3,2,3,0,4,0,46,3,0,8,6,1,1,1,2,2,22,2,0,9,0,0,2,0,1,4,0,8,1,2,19,0,0,1,1,5,1,8,10,1,23,0,6,2,1,1,13,2,2,2,0,11,0,136,1,2,0,3,0,0,0,0,0,0,0,1,3,0,15,7,3,2,1,0,0,4,5,4,79,2,1,1,3,4,1,4,5,1,0,2,4,0,2,4,0,5,1,0,2,3,0,2,5,3,2,0,4,11,2,3,1,4,0,0,2,3,12,49,0,50,0,0,2,10,0,1,3,0,3,0,3,2,1,0,2,0,0,0,2,6,0
panko breadcrumbs,6,5,16,22,10,1,3,11,8,7,18,15,7,5,1,8,23,14,4,0,3,17,13,9,2,0,1,21,2,8,23,16,3,4,0,7,11,2,25,13,21,1,17,0,6,6,0,3,2,14,1,19,11,2,11,2,1,2,7,3,4,6,20,0,0,3,3,0,14,17,1,13,8,1,26,4,1,7,3,1,3,11,0,4,1,2,4,1,0,12,4,7,2,11,2,13,3,4,14,0,2,18,6,2,4,7,3,1,14,0,10,3,5,1,15,5,10,8,11,7,0,0,5,9,4,3,2,5,2,3,5,6,2,0,0,3,9,0,1,6,5,11,4,2,5,0,1,6,2,0,2,2,0,0,7,1,3,3,1,1,1,4,2,0,1,0,0,4,6,1,5,6,0,1,2,1,0,2,1,0,1,1,22,0,1,4,0,19,9,6,0,3,0,1,9,1,1,7,0,0,5,2,7,14,10,4,1,9,0,3,6,3,0,6,0,2,0,7,11,2,3,13,2,0,4,0,6,1,3,3,19,8,12,0,0,3,7,0,3,2,0,4,1,2,1,4,13,2,4,4,1,3,0,2,1,2,6,3,0,2,0,3,2,3,0,0,2,0,1,2,2,3,0,0,2,0,1,0,8,1,0,2,4,0,7,0,4,0,2,9,0,6,1,5,0,0,4,1,2,0,6,8,4,0,3,6,1,3,0,1,0,0,0,0,7,1,1,1,0,13,0,0,3,3,4,3,1,1,4,1,0,8,0,0,0,2,2,1,14,0,4,2,2,5,6,4,3,1,4,5,0,2,0,4,0,0,0,2,2,0,3,0,0,4,0,5,2,0,4,1,0,4,3,3,0,0,2,1,1,3,0,0,0,0,1,1,2,18,0,5,5,3,0,1,2,1,13,1,6,0
slivered almonds,20,19,4,5,15,4,12,2,5,3,4,4,8,4,6,6,4,3,17,4,8,6,5,3,9,4,7,1,9,2,12,13,3,4,15,19,2,1,5,6,5,11,3,4,8,0,4,1,16,7,3,2,4,2,6,4,9,8,0,46,0,3,2,3,8,9,4,0,3,4,2,2,19,5,5,2,10,4,0,7,6,11,3,1,0,5,3,10,0,3,3,2,13,0,3,2,1,3,2,6,4,4,2,2,8,14,2,2,3,3,0,6,7,0,2,4,2,4,2,10,3,2,1,1,6,4,6,3,5,0,6,2,25,6,2,3,0,3,11,2,1,4,8,3,5,0,4,5,0,9,3,3,8,7,0,2,4,2,2,4,3,0,6,2,14,0,6,5,4,0,0,0,0,1,0,1,2,6,2,1,0,29,0,3,0,1,4,2,0,1,3,12,7,4,2,4,2,10,8,3,0,4,4,5,4,0,0,3,7,2,2,3,3,1,1,3,13,5,0,4,7,1,6,6,2,3,2,1,1,1,1,1,2,3,8,1,6,3,2,4,1,1,1,5,2,0,0,2,0,6,5,4,0,0,3,0,3,0,4,4,2,0,6,0,1,1,17,0,3,3,1,0,6,2,1,2,1,2,0,0,4,4,1,3,1,1,0,15,8,1,3,1,3,0,0,1,0,1,1,4,1,0,2,0,2,2,1,0,1,5,1,0,1,3,1,0,5,7,2,4,1,2,5,0,1,0,3,3,2,0,3,2,0,2,12,4,0,3,0,1,3,3,2,2,5,2,0,0,0,1,3,5,0,0,2,3,3,1,4,2,0,3,1,2,5,0,0,4,6,2,0,1,0,2,0,2,2,0,1,1,0,4,0,5,2,7,0,3,0,1,0,4,2,0,1,1,1,18,9,0
dried cranberries,21,24,0,2,0,2,3,5,2,1,10,2,16,6,2,1,9,1,8,6,26,0,3,0,3,1,37,8,3,2,12,6,3,3,4,7,1,5,2,3,2,1,0,6,6,0,15,0,20,8,2,1,4,4,2,2,7,13,3,10,1,2,1,6,8,28,7,7,3,2,1,3,5,17,3,7,1,3,3,10,7,1,3,21,1,3,0,5,0,0,15,4,35,10,1,4,3,4,2,1,0,2,7,1,4,13,2,4,1,3,1,1,4,0,4,3,6,9,4,3,2,7,0,1,3,0,3,3,3,1,1,0,6,8,1,2,4,2,1,4,2,0,2,0,7,1,0,3,1,30,2,2,5,5,1,0,0,6,30,3,3,2,11,1,6,10,2,1,2,9,1,1,4,0,1,1,2,2,0,1,29,0,0,0,1,0,5,0,19,1,0,11,8,5,0,13,2,23,0,1,1,3,4,6,1,1,1,9,3,0,0,4,6,5,1,0,16,4,0,0,2,2,0,0,0,2,0,0,8,4,0,4,5,0,4,1,3,8,5,2,0,0,0,1,2,0,2,1,3,9,0,0,3,0,2,3,2,0,0,0,2,0,4,0,3,0,18,3,1,1,0,0,6,6,0,2,0,2,2,0,18,7,1,2,0,0,0,27,1,0,4,0,3,0,0,0,0,1,4,2,2,0,0,1,4,1,9,2,3,3,1,0,0,3,0,10,7,14,8,8,0,1,0,0,1,2,3,1,3,0,1,3,2,0,8,3,0,0,0,3,2,0,0,0,2,1,0,0,0,0,4,1,1,1,1,0,2,0,9,6,0,4,3,2,20,3,0,1,10,1,0,9,0,1,6,2,0,0,0,0,2,4,0,0,3,3,0,0,0,0,0,3,3,0,1,0,0,16,11,3
parmigiano - reggiano cheese,0,2,30,14,16,14,1,20,1,7,32,0,9,13,0,1,38,5,10,0,0,29,19,1,4,0,0,26,3,17,18,6,9,18,4,0,20,5,14,7,8,0,5,0,2,12,0,0,1,10,0,11,1,2,13,2,5,4,4,0,1,8,5,0,0,2,17,0,1,0,0,12,0,1,46,5,4,4,0,0,5,1,0,2,3,8,2,4,1,8,33,1,1,21,1,47,0,2,17,0,2,12,0,6,0,1,7,0,1,2,1,7,1,0,9,6,8,2,1,0,8,0,5,4,9,16,1,8,10,5,2,0,0,0,0,32,0,0,3,6,0,0,4,1,1,0,4,1,9,0,1,5,0,3,4,0,0,0,1,2,1,16,0,3,0,0,0,11,4,2,2,1,2,16,21,1,0,2,0,22,0,0,0,0,0,0,0,0,1,0,0,8,0,9,2,0,0,2,0,0,0,0,9,3,0,8,0,5,0,6,33,9,0,6,6,0,0,3,0,0,0,0,5,0,2,2,16,3,10,0,15,27,18,0,2,0,1,0,9,1,0,1,0,0,0,1,6,2,7,11,0,5,0,4,0,5,2,6,4,3,0,1,2,11,0,5,1,4,6,1,3,17,0,0,0,2,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,2,5,1,0,5,4,2,0,0,0,0,4,2,1,3,5,1,0,4,1,1,0,6,0,0,0,0,2,0,0,2,0,2,10,0,0,5,0,0,4,0,0,0,1,8,0,4,3,0,0,0,2,11,3,2,0,2,1,0,0,4,7,0,0,0,1,4,1,0,0,0,0,1,4,2,0,1,2,0,0,5,2,1,0,0,2,0,3,0,0,0,0,5,0,8,6,3,1,2,0,0,0,12,1,12,0,2,0
whipped cream,22,21,0,0,5,0,2,0,0,0,0,0,25,0,37,0,31,1,0,17,7,0,0,5,9,4,16,0,9,0,12,0,0,1,37,0,0,15,0,0,0,0,0,7,0,0,23,0,19,5,0,2,0,2,16,0,0,0,0,19,0,0,1,8,6,9,1,12,2,0,0,0,1,9,0,0,0,0,13,5,1,0,18,7,0,4,7,4,21,0,1,15,6,0,1,2,1,1,0,15,0,1,0,6,0,1,0,5,0,0,0,0,0,0,0,1,0,2,5,0,0,22,1,0,0,0,0,2,0,1,0,2,0,13,10,2,2,15,1,0,0,9,0,0,9,11,0,2,0,2,0,0,7,3,0,42,0,5,8,0,0,0,2,10,2,0,23,0,0,3,0,0,0,1,0,0,7,1,1,0,3,0,0,0,1,0,1,0,0,0,5,0,17,0,0,2,16,3,7,0,0,11,0,1,3,0,12,0,13,1,0,3,3,0,0,0,2,0,0,0,1,0,0,20,0,4,0,0,0,0,0,0,0,4,14,0,5,5,0,10,2,0,0,0,7,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,5,0,3,0,8,0,0,5,1,0,6,0,12,0,1,1,0,18,0,0,0,0,15,0,0,1,2,0,0,1,1,3,0,4,0,0,3,1,0,1,10,0,3,2,1,7,4,0,10,0,0,0,0,0,1,1,0,5,0,6,15,1,0,0,0,0,5,0,6,0,0,0,0,0,0,1,0,2,0,0,0,1,2,14,6,0,1,0,3,3,0,1,0,0,0,0,0,0,5,0,0,5,2,0,0,0,0,10,2,0,16,1,1,0,0,3,0,0,1,2,0,1,0,0,0,0,7
beer,2,6,2,32,5,18,8,23,25,20,9,1,9,32,0,6,5,12,19,5,7,8,10,7,0,1,2,6,1,1,0,1,13,2,0,6,6,2,13,8,7,9,19,0,24,10,1,4,5,4,17,4,18,1,3,12,22,1,3,0,27,1,19,0,3,2,5,1,6,21,9,14,3,10,1,3,6,7,0,6,4,9,2,0,7,3,1,5,1,0,1,4,0,7,6,1,1,2,6,3,4,2,2,2,2,7,4,1,11,5,1,4,6,1,4,20,16,1,4,2,16,0,6,18,1,3,4,0,11,7,2,6,2,0,3,1,2,0,3,3,12,0,1,4,2,3,3,1,5,0,2,3,1,0,2,0,2,0,1,4,5,9,4,1,0,2,0,2,3,2,9,2,5,1,0,3,0,1,5,1,0,1,0,1,0,6,1,0,6,10,0,1,1,1,2,0,0,1,0,0,9,1,0,0,1,3,1,2,2,9,0,1,0,1,1,4,1,0,1,0,0,0,0,0,3,5,5,12,2,3,6,1,2,2,3,7,0,2,1,0,0,4,6,0,2,6,9,0,0,0,0,1,2,2,4,2,0,5,0,0,1,3,0,1,0,3,0,6,0,4,3,0,0,2,0,2,12,0,3,4,1,0,5,0,3,2,4,0,1,2,0,1,4,1,13,0,1,0,0,3,0,5,0,0,3,3,1,2,2,2,0,0,5,0,2,3,0,0,1,0,1,2,1,2,2,0,1,7,0,14,0,0,1,0,2,0,0,0,0,0,0,0,4,2,0,3,6,0,0,3,0,1,1,2,1,0,0,3,2,1,3,1,1,1,0,4,5,1,0,0,1,0,2,3,0,0,1,0,3,1,0,0,3,0,1,1,1,4,1,3,3,0,0,1,0,1,1,0,0,1
corn tortillas,1,1,0,12,4,9,0,3,60,15,14,1,0,13,0,47,1,13,24,4,1,5,1,32,3,1,0,3,4,1,1,16,28,1,0,2,1,3,6,5,8,9,5,0,3,1,0,86,0,24,48,4,11,2,9,13,8,5,93,0,6,8,18,0,0,0,1,0,33,23,10,16,6,2,1,1,4,8,1,0,3,18,0,1,18,1,1,1,0,0,2,0,0,0,5,1,3,5,1,1,10,3,52,2,33,4,1,2,4,4,0,1,15,21,0,6,11,5,0,1,4,0,4,4,2,8,0,3,0,1,0,35,36,1,0,1,38,0,3,6,1,0,1,0,2,0,3,1,0,0,7,9,0,1,1,0,49,0,0,6,1,2,2,0,0,0,1,0,5,0,21,1,0,0,0,2,0,0,8,4,1,0,0,0,6,0,4,0,1,0,3,11,0,2,0,0,0,1,0,16,22,0,2,5,0,5,0,6,0,1,0,0,0,5,1,11,0,0,0,9,0,0,1,0,1,4,5,1,1,2,4,0,1,2,1,17,0,0,1,0,0,26,9,0,0,24,5,0,0,0,24,2,0,15,2,0,1,1,2,0,0,1,2,3,0,6,0,1,0,3,14,0,0,2,7,0,1,1,11,6,0,0,3,2,14,0,2,1,0,25,0,2,5,2,2,0,2,1,1,1,2,8,0,0,0,13,2,0,18,0,0,1,3,0,0,0,2,0,0,5,7,0,0,1,1,1,1,0,3,1,2,0,0,0,0,0,1,0,0,0,1,3,2,2,1,8,2,0,1,1,0,0,10,0,0,0,0,0,4,0,0,0,0,1,1,3,7,2,1,2,2,0,0,4,0,0,0,5,1,2,0,0,4,0,3,0,0,2,1,6,0,3,0,1,0,0,0,2,0,0
Philadelphia Cream Cheese,8,6,3,2,6,1,2,0,0,4,0,0,15,0,6,2,1,1,1,21,0,2,0,1,11,2,3,1,2,3,2,2,2,1,9,1,4,10,1,2,0,6,2,3,1,0,4,9,6,2,3,5,5,1,3,1,0,4,4,3,2,0,1,2,1,2,0,3,0,1,2,1,0,0,0,2,0,0,10,0,1,0,1,3,1,13,1,3,0,1,1,0,7,1,7,1,2,0,1,6,3,0,2,5,2,0,0,0,2,7,2,3,0,2,6,0,0,5,1,0,1,12,0,1,1,0,0,0,0,0,0,1,6,3,5,2,1,3,1,0,0,1,1,1,0,8,0,1,3,1,5,0,3,2,3,0,4,1,3,1,1,0,0,0,2,0,2,1,0,1,0,0,0,0,1,1,1,4,0,0,4,5,0,1,1,4,0,0,4,1,0,1,4,0,0,0,32,3,28,0,5,2,1,3,7,2,4,1,4,7,7,3,13,0,0,0,3,2,0,2,0,2,0,3,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2,5,0,9,2,1,0,0,1,2,2,0,7,11,2,1,3,0,0,8,1,0,1,0,0,95,0,0,0,0,1,0,1,1,4,2,0,0,5,0,3,20,1,0,1,0,2,0,1,0,0,2,0,1,0,0,7,0,2,1,0,3,1,0,1,1,0,3,0,4,0,0,2,0,1,0,0,0,0,4,0,0,2,4,0,0,1,0,0,2,3,7,2,3,5,2,0,0,0,0,0,3,0,0,0,0,12,0,0,1,0,6,0,0,1,1,0,1,1,1,0,0,1,4,0,0,0,0,0,3,1,4,3,0,0,1,0,0,3,0,1,6,1,2,4,0,2,5,0,0,3,3,0,0,0,1,2,0,0,0,5
sake,1,7,3,1,2,2,45,0,0,0,1,117,0,0,0,0,0,6,14,2,0,4,2,7,0,0,1,0,0,2,0,34,0,0,0,12,2,3,6,6,1,14,17,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,5,0,1,0,2,1,0,4,0,4,2,39,1,1,0,1,2,0,0,1,23,0,1,0,1,2,5,8,0,0,6,1,0,0,0,4,3,0,0,1,0,3,1,9,2,0,1,9,1,0,1,2,0,1,0,4,6,2,11,0,0,3,0,11,0,0,1,0,0,11,3,0,0,0,0,0,0,16,6,0,2,8,1,5,1,5,9,32,1,3,2,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,5,0,0,1,6,0,4,1,0,0,1,0,19,2,0,0,0,0,0,0,0,0,8,2,0,0,2,2,0,0,2,1,0,0,1,0,0,10,0,0,0,0,4,1,0,0,0,1,2,0,0,229,0,1,6,0,0,1,0,0,1,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,1,0,0,1,0,0,0,0,3,0,2,21,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,3,9,0,1,0,4,0,0,1,0,7,0,25,0,0,2,3,0,0,22,0,5,0,1,1,0,6,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,14,49,0,0,0,32,1,3,0,0,0,0,1,1,0,0,0,1,0,0,2,12,0,0,1,15,1,0,4,0,0,4,0,5,2,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0
blue cheese,0,1,9,14,4,4,10,6,4,5,19,2,2,3,0,5,7,4,11,3,3,5,8,3,6,1,9,13,5,6,4,16,4,13,3,1,2,0,2,18,6,4,4,0,11,3,0,1,1,2,4,21,10,2,12,3,17,1,5,0,9,17,28,0,0,4,14,2,1,4,0,8,0,2,10,10,11,0,1,1,14,6,0,3,0,4,3,2,0,1,10,0,1,3,4,6,5,5,6,0,3,13,13,0,16,10,6,0,7,3,1,11,1,7,21,5,11,4,1,3,3,0,1,7,4,4,2,4,2,0,1,1,8,0,0,4,9,0,3,3,9,0,4,0,3,0,2,1,4,0,3,3,0,1,2,0,0,2,6,4,2,4,0,0,1,1,0,3,5,1,0,0,1,2,6,8,1,0,0,9,0,19,1,0,6,1,4,0,0,3,0,24,1,1,2,0,0,7,0,0,3,0,13,7,3,2,0,2,0,16,1,6,0,3,2,2,6,1,1,12,3,0,2,0,3,2,0,0,4,12,2,5,6,1,1,2,0,0,3,2,0,1,0,1,0,1,4,0,0,8,0,4,0,0,1,8,6,2,3,1,0,5,3,2,0,1,2,1,0,4,1,4,4,0,3,2,8,1,0,1,0,0,3,0,6,0,1,3,1,0,0,0,1,1,1,0,0,0,2,0,1,0,1,0,1,0,0,8,0,0,0,0,1,0,3,1,1,0,0,2,1,1,0,1,5,6,2,1,3,0,0,11,0,0,1,6,1,0,3,1,6,1,1,0,4,1,1,0,5,2,0,2,6,1,1,0,1,0,0,0,1,0,0,3,0,5,1,0,6,0,2,5,2,2,3,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,3,0,0,0,2,0,4,1,2,0
mustard,3,3,4,20,9,5,60,8,9,7,7,7,1,2,1,5,2,9,7,1,0,2,6,0,0,1,8,4,5,7,5,4,4,13,0,6,2,1,4,9,4,20,3,0,3,3,0,1,2,2,0,7,18,1,2,3,16,0,4,0,22,6,13,1,0,5,6,0,5,9,2,3,8,2,1,10,14,6,4,23,10,9,0,2,2,7,0,3,0,3,1,0,0,2,3,0,7,2,4,0,7,3,2,1,16,13,2,1,2,4,3,1,1,5,3,4,6,6,2,1,6,0,14,17,1,3,16,6,7,1,2,0,2,0,0,1,2,0,0,0,8,0,6,5,0,0,8,4,5,0,1,7,0,0,9,0,2,1,1,2,0,4,4,0,3,1,0,1,0,4,3,1,2,1,0,7,0,4,2,6,1,1,0,0,10,0,1,8,3,0,3,9,4,0,4,1,0,3,1,2,0,0,7,0,3,0,1,5,0,6,0,5,0,2,3,1,3,1,4,2,1,5,2,0,3,2,1,3,0,14,3,0,0,0,0,2,0,2,0,0,0,6,7,1,0,5,4,0,0,0,0,3,0,0,5,1,20,6,0,0,0,3,0,1,0,4,0,2,0,4,2,0,0,1,0,9,1,0,4,0,0,0,2,1,1,0,1,0,1,0,0,0,2,2,8,0,0,0,3,0,1,7,4,2,0,1,0,2,0,0,0,1,1,0,4,1,0,0,0,2,4,5,3,5,3,0,3,3,2,7,0,1,0,0,6,0,0,0,2,0,6,1,2,4,2,0,1,0,2,3,0,8,3,2,2,0,0,0,1,2,4,0,0,0,0,1,6,1,2,5,1,1,2,0,1,0,0,2,2,0,0,0,1,0,3,0,0,0,1,1,2,2,2,1,4,2,2,2,1,0
